VERB	POSSESSION	INFORMATION	COMBAT	CREATION	EMOTION												
advise_about	0	1	0	0	0												
ask_for	0.25	0.5	0	0.25	0												
award_with	1	0	0	0	0												
bet	1	0	0	0	0												
borrow	1	0	0	0	0												
break_down	0	0	1	0	0												
buy	1	0	0	0	0												
carry	1	0	0	0	0												
create	0.25	0.25	0	0.5	0												
donate	0.6666666667	0	0	0	0.3333333333												
earn	1	0	0	0	0												
give	1	0	0	0	0												
hear	0	1	0	0	0												
hide	0	1	0	0	0												
inherit	0.6666666667	0.3333333333	0	0	0												
know	0	0.6666666667	0	0.3333333333	0												
lend	1	0	0	0	0												
look_at	0	1	0	0	0												
own	0.6666666667	0.3333333333	0	0	0												
pay_for	0.6666666667	0	0	0.3333333333	0												
present	0.3333333333	0.6666666667	0	0	0												
reach	1	0	0	0	0												
shelter	0	0	1	0	0												
suggest	0	0.6666666667	0	0.3333333333	0												
swing	0	0	1	0	0												
tell_about	0	1	0	0	0												
throw	0	0	1	0	0												
trust	0.5	0.25	0	0	0.25												
unveil	0.25	0.5	0	0.25	0												
warn_about	0	1	0	0	0												
work_on	0.25	0.25	0	0.5	0												
yearn	0.2	0.2	0	0.2	0.4												
																	
SUBJECT	WARRIOR	MAGE	EXILED	SCHOLASTIC	FOREST	PERFORMER	RURAL	WORKER	GOOD	BAD	WATER	NOBILITY	TROUBLESOME	UNDEAD			
acolyte	0.0909090909	0.1818181818	0.1818181818	0.1818181818	0.0909090909	0	0	0	0	0.1363636364	0	0	0.0454545455	0.0909090909			
actor	0	0	0	0.0833333333	0	0.3333333333	0	0	0.1666666667	0.1666666667	0	0.1666666667	0.0833333333	0			
adventurer	0.12	0	0.04	0	0.16	0	0.04	0.04	0.16	0.16	0.16	0	0.12	0			
alchemist	0	0.1818181818	0.0909090909	0.3636363636	0.0909090909	0	0.0909090909	0	0.1818181818	0	0	0	0	0			
amazon	0.4	0	0	0	0.2	0	0	0	0.2	0.2	0	0	0	0			
apothecary	0	0.1818181818	0	0.3636363636	0.1818181818	0	0.0909090909	0	0.1818181818	0	0	0	0	0			
archer	0.25	0	0	0	0.25	0	0.125	0	0.125	0.125	0.125	0	0	0			
artisan	0	0	0	0.25	0	0	0	0.5	0	0	0	0.25	0	0			
assassin	0.1176470588	0	0.0588235294	0.0588235294	0.1176470588	0	0	0	0	0.1764705882	0	0.2352941176	0.2352941176	0			
astrologer	0	0.2857142857	0.0714285714	0.2857142857	0	0	0	0	0.0714285714	0.1428571429	0	0.0714285714	0.0714285714	0			
astronomer	0	0	0	0.6666666667	0	0	0	0	0.3333333333	0	0	0	0	0			
baker	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0			
barbarian	0.1666666667	0	0.0833333333	0	0.0833333333	0	0.1666666667	0.1666666667	0.0833333333	0.0833333333	0	0	0.1666666667	0			
bard	0	0	0	0.0833333333	0	0.3333333333	0	0	0.1666666667	0.1666666667	0	0.1666666667	0.0833333333	0			
barman	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0			
baron	0.1818181818	0	0	0.0909090909	0	0	0	0	0.1818181818	0.1818181818	0	0.3636363636	0	0			
beggar	0	0	0.25	0	0	0	0.125	0	0.125	0.125	0	0	0.25	0.125			
beserker	0.3076923077	0	0	0	0.0769230769	0	0	0.0769230769	0.1538461538	0.1538461538	0	0	0.2307692308	0			
blacksmith	0.3333333333	0	0	0	0	0	0.3333333333	0.3333333333	0	0	0	0	0	0			
brewer	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0			
buccaneer	0.1739130435	0	0.1739130435	0	0	0	0	0.0869565217	0.0434782609	0.1739130435	0.1739130435	0	0.1739130435	0			
builder	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0			
butcher	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0			
butler	0	0	0	0	0	0	0	0.6666666667	0	0	0	0.3333333333	0	0			
cannibal	0.1111111111	0.1111111111	0.2222222222	0	0.2222222222	0	0	0	0	0.2222222222	0	0	0	0.1111111111			
captain	0.3333333333	0	0	0	0	0	0	0	0.1666666667	0.1666666667	0	0.1666666667	0	0.1666666667			
carpenter	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0			
centaur	0.2857142857	0	0.1428571429	0	0.1428571429	0	0	0.1428571429	0.1428571429	0.1428571429	0	0	0	0			
champion	0.2666666667	0.1333333333	0	0	0	0	0	0	0.2	0.1333333333	0.1333333333	0.1333333333	0	0			
chemist	0	0.125	0	0.5	0.125	0	0	0	0.25	0	0	0	0	0			
chieftain	0.1818181818	0.0909090909	0	0.0454545455	0.0909090909	0	0.0909090909	0	0.0909090909	0.0909090909	0.0909090909	0.1363636364	0.0454545455	0.0454545455			
cleric	0.0714285714	0.2857142857	0	0.2142857143	0	0	0	0	0.2857142857	0	0	0.1428571429	0	0			
commander	0.2857142857	0	0	0.0714285714	0	0	0	0	0.1428571429	0.1428571429	0.1428571429	0.1428571429	0	0.0714285714			
cooker	0	0	0	0	0	0	0	0.6666666667	0	0	0	0.3333333333	0	0			
corsair	0.2222222222	0	0	0	0	0	0	0.1111111111	0.1111111111	0.1111111111	0.2222222222	0.1111111111	0	0.1111111111			
counselor	0	0	0	0.3333333333	0	0	0	0	0.1666666667	0.1666666667	0	0.3333333333	0	0			
count	0	0	0	0.1111111111	0	0	0	0	0.2222222222	0.2222222222	0	0.4444444444	0	0			
crusader	0.3076923077	0	0	0.1538461538	0	0	0	0	0.3076923077	0	0	0.2307692308	0	0			
